***NAMEDLABELSIDS***	_	p	i	e	r	v	n	k	,	6	1	y	a	s	o	l	d	w	j	t	h	b	x	c	u	.	2	9	m	f	g	5	3	0	-	'	`	q	8	z	&	7	4	%	$	;	:	/	{	}	*	(	)	?	@	£	>	<	]
1st:.	0.00000000000000000000 -3.37279042601585388184 -3.07038678228855133057 -3.18378101289272308350 -3.09749530255794525146 -3.45573519170284271240 -3.04114623367786407471 -3.17059926316142082214 -3.72426658868789672852 -3.03856751322746276855 -3.00916686654090881348 -3.10359086841344833374 -3.00946773588657379150 -2.94303825497627258301 -3.14818182960152626038 -2.95825280249118804932 -3.12022413313388824463 -3.15924510359764099121 -3.13326319307088851929 -2.80789434909820556641 -3.10800639539957046509 -2.90916055440902709961 -3.48179471492767333984 -3.22032205387949943542 -2.96661701798439025879 -0.56284761428833007812 -2.78715351223945617676 -2.91594123840332031250 -2.90511053800582885742 -3.29059398174285888672 -2.97291724383831024170 -1.88232648372650146484 -2.91424393653869628906 -2.37256723642349243164 -3.41198271512985229492 -2.21736812591552734375 -2.44221323728561401367 -3.56313493847846984863 -2.84244045615196228027 -3.41945889592170715332 -3.55703997611999511719 -2.91561940312385559082 -2.88389569520950317383 -3.93548679351806640625 -3.94824790954589843750 -3.49869644641876220703 -3.49633154273033142090 -3.51531890034675598145 -3.48539876937866210938 -3.47244432568550109863 -3.49490141868591308594 -3.13859835267066955566 -3.49902787804603576660 -3.48116928339004516602 -3.48182785511016845703 -3.50938895344734191895 -3.49520701169967651367 -3.49515050649642944336 -3.49477028846740722656
2nd:_	0.00000000000000000000 2.82589268684387207031 2.28068196773529052734 1.11301892995834350586 1.88932847976684570312 1.16358602046966552734 1.64206254482269287109 0.87419989705085754395 -3.59078645706176757812 0.36179986596107482910 2.28024768829345703125 1.17484414577484130859 2.90487980842590332031 2.58822202682495117188 2.17631316184997558594 1.65525114536285400391 2.31493234634399414062 2.81446743011474609375 1.75554025173187255859 3.20600914955139160156 2.64831066131591796875 3.00333905220031738281 -1.44885659217834472656 2.92132306098937988281 1.11619830131530761719 -2.32639288902282714844 1.12485814094543457031 -0.01976338028907775879 2.92554283142089843750 2.82593798637390136719 1.78814876079559326172 0.67683410644531250000 1.22406744956970214844 -1.04428875446319580078 0.18626472353935241699 -2.08150482177734375000 1.71964800357818603516 0.33606015518307685852 0.37189065665006637573 -0.98672175407409667969 0.04049500823020935059 0.53339430689811706543 0.56058761477470397949 1.79728519916534423828 1.76495444774627685547 -1.39088106155395507812 -1.39554011821746826172 -1.36454987525939941406 -0.90233671665191650391 -0.90179622173309326172 -1.34991145133972167969 0.40740543976426124573 -1.36917698383331298828 -1.36125171184539794922 -1.33858084678649902344 -0.93884265422821044922 -1.32801938056945800781 -1.32716035842895507812 -1.33722472190856933594
bigr:._	0.00000000000000000000 -1.16266545653343200684 -0.11659252643585205078 -0.10265564918518066406 -0.86742359399795532227 -1.44421422481536865234 -0.71242058277130126953 -1.01317882537841796875 -1.80484570562839508057 -2.26103782653808593750 -2.01618900895118713379 -0.96635758876800537109 -0.71014595031738281250 -0.53456032276153564453 -1.01949566602706909180 -1.03549176454544067383 -1.26908048987388610840 -1.34879532456398010254 -1.40169560909271240234 -0.44324231147766113281 -1.19730123877525329590 -1.22859591245651245117 -1.75727070868015289307 -1.45027466118335723877 -1.15225857496261596680 -2.07459390163421630859 -1.86101411283016204834 -1.81116291880607604980 -1.10424548387527465820 -1.56641712784767150879 -1.18988552689552307129 -2.28027778863906860352 -1.73658720403909683228 -1.86219502985477447510 -1.65969354100525379181 -1.87423136830329895020 -0.55459344387054443359 -1.84175425767898559570 -1.92342564463615417480 -1.69148775190114974976 -1.83666676282882690430 -1.93634349107742309570 -1.97299009561538696289 -2.23719513416290283203 -2.25187230110168457031 -1.77163803577423095703 -1.77149967849254608154 -1.77214460074901580811 -1.76276390254497528076 -1.74909743666648864746 -1.77282367646694183350 -1.39082083106040954590 -1.77214914560317993164 -1.77284692227840423584 -1.75920479744672775269 -1.78844754397869110107 -1.77342548966407775879 -1.77342723309993743896 -1.77306374907493591309
1st:_	0.00000000000000000000 -3.29309108480811119080 -0.99776434898376464844 -1.09864592552185058594 -1.49033284187316894531 -3.28390366584062576294 -2.56871312856674194336 -4.50770831108093261719 -3.78701925277709960938 -2.85040193796157836914 -2.70958495140075683594 -2.87895929813385009766 -0.67175960540771484375 -3.00423675775527954102 -0.56744003295898437500 -2.02791750431060791016 -3.39885042607784271240 -2.75315147638320922852 -4.53031575679779052734 -2.45707392692565917969 -1.80975973606109619141 -3.11023281514644622803 -3.05536040663719177246 -2.61418431997299194336 -0.57976055145263671875 -1.37002956867218017578 -2.52304565906524658203 -2.58593714237213134766 -2.68294495344161987305 -2.19942414760589599609 -3.64866074919700622559 -2.24259936809539794922 -2.58643352985382080078 -1.60897529125213623047 -2.73453921079635620117 -4.09832543134689331055 -2.51206147670745849609 -3.29564023390412330627 -2.92660903930664062500 -4.12705034017562866211 -3.83225774765014648438 -2.66372817754745483398 -2.71327185630798339844 -4.41697883605957031250 -3.83602219820022583008 -4.27788931131362915039 -4.39186227321624755859 -2.34723097085952758789 -4.38520455360412597656 -4.38440382480621337891 -4.35939550399780273438 -4.37653493881225585938 -4.30692130327224731445 -4.38653373718261718750 -4.37954032421112060547 -4.37947571277618408203 -4.37790131568908691406 -4.37708890438079833984 -4.37631988525390625000
bigr:__	0.00000000000000000000 -3.10844606161117553711 -3.99722230434417724609 -3.47582745552062988281 -3.96251428127288818359 -2.39735418558120727539 -2.56943815946578979492 -1.97456578910350799561 -2.15544659737497568130 -2.27035032212734222412 -3.07072931528091430664 -2.30603554844856262207 -4.63142895698547363281 -2.38647493720054626465 -4.10297846794128417969 -2.56374126672744750977 -2.24162914603948593140 -2.59291914105415344238 -2.19709642976522445679 -1.85417634248733520508 -2.92436802387237548828 -2.10798734426498413086 -2.16332944668829441071 -2.53699389100074768066 -2.87029796838760375977 -2.16085791401565074921 -2.25708867609500885010 -2.18795071914792060852 -2.30090166628360748291 -2.73658961057662963867 -2.20538970082998275757 -2.24211601912975311279 -2.25333383679389953613 -2.20169617235660552979 -2.20147920027375221252 -2.13442018721252679825 -1.56922757625579833984 -2.17198181897401809692 -2.17901511490345001221 -2.15198904182761907578 -2.15936079435050487518 -2.19297089427709579468 -2.19496699422597885132 -2.19532804191112518311 -2.21689354628324508667 -2.15040903305634856224 -2.15014627762138843536 -2.16264979168772697449 -2.15136005310341715813 -2.15135581931099295616 -2.15027129044756293297 -2.14418525353539735079 -2.13550576008856296539 -2.15017252508550882339 -2.15022313874214887619 -2.15122079569846391678 -2.15023434720933437347 -2.15022986382246017456 -2.15020200982689857483
2nd:p	0.00000000000000000000 1.13983780145645141602 1.35653215646743774414 2.23724824190139770508 2.43688994646072387695 -1.78775614500045776367 -2.32599478960037231445 -1.73119276762008666992 0.12195909023284912109 -1.37891107797622680664 -1.44362080097198486328 -0.57582014799118041992 2.20581632852554321289 0.35914021730422973633 2.59508472681045532227 1.95696598291397094727 -1.67068320512771606445 -1.22065585851669311523 -0.99481621384620666504 0.66754800081253051758 1.27690869569778442383 -0.78623587638139724731 -1.10063078999519348145 -1.31192564964294433594 1.18122893571853637695 0.81255537271499633789 -1.06553551554679870605 -1.07867982983589172363 -0.38976785540580749512 -1.03166422247886657715 -1.27653384208679199219 -1.07870453596115112305 -1.05781230330467224121 -1.16127976775169372559 -0.97569727897644042969 -0.86449858546257019043 -1.11049482226371765137 -1.05988910794258117676 -1.03020530939102172852 -1.04089376330375671387 -1.02991488575935363770 -1.05021342635154724121 -1.04944223165512084961 -1.01156076788902282715 -1.05289673805236816406 -1.00047317147254943848 -1.01749733090400695801 -1.06010776758193969727 -1.02031159400939941406 -1.02034777402877807617 -1.01951158046722412109 -1.02363339066505432129 -1.01500034332275390625 -1.00719019770622253418 -1.01881214976310729980 -1.02104571461677551270 -1.01859533786773681641 -1.01842465996742248535 -1.01834830641746520996
bigr:_p	0.00000000000000000000 0.30090868473052978516 2.16853398084640502930 2.45971220731735229492 4.13388788700103759766 1.46196036040782928467 1.27586039900779724121 1.57686311751604080200 1.49475955963134765625 1.51776731014251708984 1.47552786767482757568 1.47578917443752288818 2.64057594537734985352 1.84054245054721832275 1.80837163329124450684 3.53545343875885009766 1.57398747652769088745 1.52489949762821197510 1.59744454920291900635 1.25902381539344787598 2.50640535354614257812 1.55782350152730941772 1.54716434329748153687 1.69530230015516281128 2.60065692663192749023 1.17997598648071289062 1.57415771484375000000 1.55320738255977630615 1.52014051377773284912 1.66519065201282501221 1.59190589189529418945 1.55635259300470352173 1.57885592430830001831 1.46369102597236633301 1.55848199129104614258 1.60645613446831703186 1.52046656608581542969 1.59794957935810089111 1.59087435528635978699 1.60860382393002510071 1.60558414459228515625 1.58491005748510360718 1.58526588976383209229 1.61088508740067481995 1.60593309998512268066 1.60991364717483520508 1.61103070899844169617 1.56923402845859527588 1.61109770461916923523 1.61115026473999023438 1.61101025715470314026 1.61120454221963882446 1.61072812601923942566 1.61127620190382003784 1.61137234047055244446 1.61144619435071945190 1.61146787181496620178 1.61151536554098129272 1.61156651377677917480
1st:p	0.00000000000000000000 -1.56666442751884460449 0.21545016765594482422 0.37645256519317626953 -0.25818800926208496094 -3.56468057632446289062 -1.22374236583709716797 -1.48756158351898193359 -0.79924523830413818359 -2.51660680770874023438 -1.95771428942680358887 -0.84010946750640869141 -0.57710421085357666016 -0.85795354843139648438 0.25753629207611083984 -0.84627735614776611328 -2.14215932786464691162 -1.75922529399394989014 -2.46481177210807800293 -0.68576848506927490234 -2.38081124424934387207 -1.25971746444702148438 -2.48107334971427917480 -0.59750926494598388672 -1.60816705226898193359 -1.69555211067199707031 -2.21577873826026916504 -2.31271854043006896973 -2.65098214149475097656 -2.24470975995063781738 -2.28218123316764831543 -1.93564767017960548401 -2.22313442826271057129 -2.11741695553064346313 -2.29679745435714721680 -2.05503442883491516113 -2.34596571326255798340 -2.29537034034729003906 -2.26272583007812500000 -2.31768482923507690430 -2.30459567904472351074 -2.27946040034294128418 -2.26508316397666931152 -2.36597535014152526855 -2.18695063889026641846 -2.30040365457534790039 -2.24793937802314758301 -2.29318222403526306152 -2.29635199904441833496 -2.29622447490692138672 -2.29444703459739685059 -2.30719447135925292969 -2.28760427236557006836 -2.29604446887969970703 -2.29395875334739685059 -2.28138488531112670898 -2.29371920228004455566 -2.29358696937561035156 -2.29342272877693176270
2nd:i	0.00000000000000000000 1.79154819250106811523 -1.13617521524429321289 2.06369549036026000977 2.40308290719985961914 3.09974533319473266602 5.34041458368301391602 1.55282217264175415039 -0.38800096511840820312 -0.90829509496688842773 -0.98310500383377075195 -1.73469680547714233398 2.00834673643112182617 3.35223299264907836914 2.09358006715774536133 3.37809091806411743164 3.34016805887222290039 -0.50789350271224975586 -0.38896244764328002930 3.85651046037673950195 -0.58035129308700561523 1.72303169965744018555 1.34710878133773803711 3.65358692407608032227 -0.42602783441543579102 -0.65083736181259155273 -0.36376065015792846680 -0.37178999185562133789 2.60653477907180786133 2.76660043001174926758 3.20379120111465454102 -0.36479747295379638672 -0.34846568107604980469 -0.42382001876831054688 -0.08146536350250244141 -0.07643401622772216797 -0.39247834682464599609 0.08337971568107604980 -0.33530026674270629883 2.18368905782699584961 -0.33213812112808227539 -0.33997488021850585938 -0.33995032310485839844 -0.29051119089126586914 -0.37278646230697631836 -0.31984800100326538086 -0.33421355485916137695 -0.34490549564361572266 -0.31840175390243530273 -0.31781136989593505859 -0.31460732221603393555 -0.32597398757934570312 -0.32678586244583129883 -0.31954199075698852539 -0.31297361850738525391 -0.31527799367904663086 -0.31241387128829956055 -0.31201285123825073242 -0.31172472238540649414
bigr:pi	0.00000000000000000000 0.07774493098258972168 -0.25330198556184768677 0.59601263701915740967 0.02205483615398406982 -0.40360146760940551758 -0.13255019485950469971 -0.31094242632389068604 -0.21543537080287933350 -0.19490013085305690765 -0.19752681814134120941 -0.21000576391816139221 -0.49036718904972076416 -0.93973703682422637939 -0.67374260723590850830 0.34743057191371917725 0.07002352178096771240 -0.19016388617455959320 -0.18756145052611827850 0.72101287543773651123 -0.18223952222615480423 -0.24000047892332077026 -0.16322653274983167648 0.03537155687808990479 -0.18499440141022205353 -0.18477201741188764572 -0.18446508143097162247 -0.18402480427175760269 -0.24272356182336807251 -0.25667451322078704834 -0.28268780559301376343 -0.18543770909309387207 -0.18438939843326807022 -0.18437343183904886246 -0.18517957162111997604 -0.18642438948154449463 -0.18360214401036500931 -0.18576542846858501434 -0.18424776475876569748 -0.21251390874385833740 -0.18408147525042295456 -0.18414853326976299286 -0.18418739829212427139 -0.18404928594827651978 -0.18434695433825254440 -0.18410590570420026779 -0.18423856887966394424 -0.18402168340981006622 -0.18410952016711235046 -0.18410655576735734940 -0.18411492742598056793 -0.18402747530490159988 -0.18408430833369493484 -0.18407460302114486694 -0.18409728072583675385 -0.18412809725850820541 -0.18408744595944881439 -0.18408295977860689163 -0.18407805077731609344
