DDI-MedLine.d62.s3|179-186|spectrin|drug
DDI-MedLine.d62.s4|202-221|dopamine D1 receptor|drug
DDI-MedLine.d62.s4|279-287|clozapine|drug
DDI-MedLine.d62.s5|62-69|dopamine|drug
DDI-MedLine.d62.s6|129-139|alterations|group
DDI-MedLine.d59.s0|77-85|carbachol|brand
DDI-MedLine.d59.s1|27-32|rabbit|drug
DDI-MedLine.d59.s1|93-103|aminopyrine|group
DDI-MedLine.d59.s2|31-39|carbachol|brand
DDI-MedLine.d59.s3|38-46|carbachol|brand
DDI-MedLine.d59.s3|121-130|inhibitors|group
DDI-MedLine.d59.s3|162-171|calmodulin|drug
DDI-MedLine.d59.s4|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s4|75-83|carbachol|brand
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s5|115-121|release|brand
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug
DDI-MedLine.d59.s6|65-92|inositol 1,4,5-trisphosphate|group
DDI-MedLine.d59.s6|108-112|major|brand
DDI-MedLine.d59.s7|49-55|release|brand
DDI-MedLine.d59.s7|248-252|actin|drug
DDI-MedLine.d47.s0|53-64|azithromycin|drug
DDI-MedLine.d47.s0|70-80|minocycline|drug
DDI-MedLine.d47.s1|87-98|azithromycin|drug
DDI-MedLine.d47.s1|104-114|minocycline|drug
DDI-MedLine.d47.s3|69-80|azithromycin|drug
DDI-MedLine.d47.s3|85-95|minocycline|drug
DDI-MedLine.d47.s4|107-118|azithromycin|drug
DDI-MedLine.d47.s4|123-133|minocycline|drug
DDI-MedLine.d65.s0|5-16|interactions|group
DDI-MedLine.d65.s1|0-11|Interactions|group
DDI-MedLine.d65.s1|32-37|agents|group
DDI-MedLine.d65.s1|152-161|conditions|group
DDI-MedLine.d65.s1|201-211|proportions|group
DDI-MedLine.d65.s2|54-65|interactions|group
DDI-MedLine.d65.s3|65-79|identifications|group
DDI-MedLine.d65.s3|99-110|interactions|group
DDI-MedLine.d65.s4|0-9|Guidelines|group
DDI-MedLine.d65.s4|102-113|interactions|group
DDI-MedLine.d65.s5|47-57|therapeutic|brand
DDI-MedLine.d65.s5|95-105|therapeutic|brand
DDI-MedLine.d65.s5|127-131|drugs|group
DDI-MedLine.d74.s0|13-20|arginine|group
DDI-MedLine.d74.s1|75-81|insulin|group
DDI-MedLine.d74.s1|119-126|glucagon|drug
DDI-MedLine.d74.s1|143-149|glucose|group
DDI-MedLine.d74.s2|41-46|agents|group
DDI-MedLine.d74.s2|57-63|insulin|group
DDI-MedLine.d74.s2|69-76|glucagon|drug
DDI-MedLine.d74.s2|200-211|combinations|group
DDI-MedLine.d74.s2|216-223|arginine|group
DDI-MedLine.d74.s2|233-239|glucose|group
DDI-MedLine.d74.s2|275-286|theophylline|drug
DDI-MedLine.d74.s3|0-11|Theophylline|drug
DDI-MedLine.d74.s3|36-42|insulin|group
DDI-MedLine.d74.s3|48-55|glucagon|drug
DDI-MedLine.d74.s3|68-76|diabetics|group
DDI-MedLine.d74.s4|0-6|Glucose|group
DDI-MedLine.d74.s4|38-49|theophylline|drug
DDI-MedLine.d74.s4|69-75|insulin|group
DDI-MedLine.d74.s4|109-116|glucagon|drug
DDI-MedLine.d74.s5|0-7|Arginine|group
DDI-MedLine.d74.s5|29-35|glucose|group
DDI-MedLine.d74.s5|41-52|theophylline|drug
DDI-MedLine.d74.s5|72-79|glucagon|drug
DDI-MedLine.d74.s5|107-113|insulin|group
DDI-MedLine.d74.s5|130-138|diabetics|group
DDI-MedLine.d74.s6|0-7|Arginine|group
DDI-MedLine.d74.s6|28-34|glucose|group
DDI-MedLine.d74.s6|39-50|theophylline|drug
DDI-MedLine.d74.s6|70-77|glucagon|drug
DDI-MedLine.d74.s6|94-102|diabetics|group
DDI-MedLine.d74.s6|121-127|insulin|group
DDI-MedLine.d74.s6|147-155|diabetics|group
DDI-MedLine.d74.s7|58-64|release|brand
DDI-MedLine.d74.s8|12-19|arginine|group
DDI-MedLine.d74.s8|83-89|insulin|group
DDI-MedLine.d74.s8|95-102|glucagon|drug
DDI-MedLine.d74.s9|110-117|arginine|group
DDI-MedLine.d74.s10|36-42|insulin|group
DDI-MedLine.d74.s10|71-77|glucose|group
DDI-MedLine.d74.s11|108-119|theophylline|drug
DDI-MedLine.d74.s11|156-162|glucose|group
DDI-MedLine.d44.s0|11-20|etofibrate|drug
DDI-MedLine.d44.s0|62-70|emulsions|group
DDI-MedLine.d44.s1|109-113|drugs|group
DDI-MedLine.d44.s2|30-39|etofibrate|drug
DDI-MedLine.d44.s2|111-118|kinetics|group
DDI-MedLine.d44.s2|229-239|cholesterol|drug
DDI-MedLine.d44.s2|258-270|triglycerides|group
DDI-MedLine.d44.s2|401-410|etofibrate|drug
DDI-MedLine.d44.s5|6-15|etofibrate|drug
DDI-MedLine.d44.s5|56-66|cholesterol|drug
DDI-MedLine.d44.s5|148-158|cholesterol|drug
DDI-MedLine.d44.s6|0-9|Etofibrate|drug
DDI-MedLine.d44.s7|71-80|etofibrate|drug
DDI-MedLine.d44.s8|30-39|etofibrate|drug
DDI-MedLine.d86.s0|57-65|diltiazem|drug
DDI-MedLine.d86.s0|71-79|sirolimus|drug
DDI-MedLine.d86.s1|0-2|AIM|brand
DDI-MedLine.d86.s1|60-68|sirolimus|drug
DDI-MedLine.d86.s1|83-99|immunosuppressant|group
DDI-MedLine.d86.s1|132-138|calcium|drug
DDI-MedLine.d86.s1|148-154|blocker|group
DDI-MedLine.d86.s2|29-40|interactions|group
DDI-MedLine.d86.s2|100-104|drugs|group
DDI-MedLine.d86.s2|134-137|same|drug
DDI-MedLine.d86.s2|154-160|calcium|drug
DDI-MedLine.d86.s3|128-143|pharmacokinetics|group
DDI-MedLine.d86.s3|176-184|sirolimus|drug
DDI-MedLine.d86.s3|216-224|diltiazem|drug
DDI-MedLine.d86.s3|239-243|drugs|group
DDI-MedLine.d86.s5|60-64|blood|group
DDI-MedLine.d86.s5|253-261|diltiazem|drug
DDI-MedLine.d86.s5|323-331|sirolimus|drug
DDI-MedLine.d86.s6|54-62|sirolimus|drug
DDI-MedLine.d86.s6|111-119|sirolimus|drug
DDI-MedLine.d86.s6|136-144|diltiazem|drug
DDI-MedLine.d86.s7|87-95|diltiazem|drug
DDI-MedLine.d86.s7|182-190|sirolimus|drug
DDI-MedLine.d86.s7|231-239|diltiazem|drug
DDI-MedLine.d86.s7|266-279|blood pressure|group
DDI-MedLine.d86.s8|25-33|diltiazem|drug
DDI-MedLine.d86.s8|68-76|sirolimus|drug
DDI-MedLine.d86.s8|145-153|sirolimus|drug
DDI-MedLine.d86.s9|111-115|blood|group
DDI-MedLine.d86.s9|127-140|concentrations|group
DDI-MedLine.d86.s9|203-207|drugs|group
DDI-MedLine.d1.s0|79-98|Erectile dysfunction|group
DDI-MedLine.d1.s4|85-94|sildenafil|drug
DDI-MedLine.d1.s5|0-9|Sildenafil|drug
DDI-MedLine.d1.s5|60-67|nitrates|group
DDI-MedLine.d1.s5|105-112|nitrates|group
DDI-MedLine.d1.s5|169-182|blood pressure|group
DDI-MedLine.d1.s6|3-14|interactions|group
DDI-MedLine.d1.s6|54-61|blockers|group
DDI-MedLine.d1.s6|64-70|calcium|drug
DDI-MedLine.d1.s6|103-111|diuretics|group
DDI-MedLine.d1.s6|121-130|inhibitors|group
DDI-MedLine.d1.s8|86-99|blood pressure|group
DDI-MedLine.d1.s8|105-109|blood|group
DDI-MedLine.d132.s0|22-68|non-nucleoside reverse transcriptase inhibitors|group
DDI-MedLine.d132.s1|42-62|reverse transcriptase|drug
DDI-MedLine.d132.s1|147-154|protease|drug
DDI-MedLine.d132.s2|188-199|interactions|group
DDI-MedLine.d132.s2|206-227|central nervous system|group
DDI-MedLine.d132.s3|82-87|agents|group
DDI-MedLine.d132.s3|90-98|efavirenz|drug
DDI-MedLine.d132.s3|101-110|nevirapine|drug
DDI-MedLine.d132.s3|115-125|delavirdine|drug
DDI-MedLine.d132.s4|5-13|efavirenz|drug
DDI-MedLine.d132.s4|19-28|nevirapine|drug
DDI-MedLine.d132.s4|79-87|indinavir|drug
DDI-MedLine.d132.s4|166-175|nevirapine|drug
DDI-MedLine.d132.s4|216-224|efavirenz|drug
DDI-MedLine.d132.s5|38-47|nevirapine|drug
DDI-MedLine.d132.s5|75-84|nelfinavir|drug
DDI-MedLine.d132.s8|19-27|efavirenz|drug
DDI-MedLine.d132.s9|77-82|agents|group
DDI-MedLine.d132.s9|98-104|regimen|brand
DDI-MedLine.d132.s10|0-8|Efavirenz|drug
DDI-MedLine.d132.s10|44-53|nelfinavir|drug
DDI-MedLine.d132.s10|118-123|agents|group
DDI-MedLine.d132.s12|56-64|the first|brand
DDI-MedLine.d23.s0|15-22|ketamine|drug
DDI-MedLine.d23.s0|53-61|digitalis|group
DDI-MedLine.d23.s1|19-27|digitalis|group
DDI-MedLine.d23.s1|65-72|ketamine|drug
DDI-MedLine.d23.s1|91-103|pentobarbital|drug
DDI-MedLine.d23.s1|120-126|ouabain|drug
DDI-MedLine.d23.s1|213-219|ouabain|drug
DDI-MedLine.d23.s1|227-234|ketamine|drug
DDI-MedLine.d23.s1|257-269|pentobarbital|drug
DDI-MedLine.d23.s2|35-41|ouabain|drug
DDI-MedLine.d23.s2|70-74|sinus|brand
DDI-MedLine.d23.s2|120-127|ketamine|drug
DDI-MedLine.d23.s2|133-142|droperidol|drug
DDI-MedLine.d23.s2|199-211|pentobarbital|drug
DDI-MedLine.d138.s0|20-27|oxytocin|drug
DDI-MedLine.d138.s0|33-44|antidiuretic|group
DDI-MedLine.d138.s1|45-52|oxytocin|drug
DDI-MedLine.d138.s1|58-68|vasopressin|drug
DDI-MedLine.d138.s2|44-51|oxytocin|drug
DDI-MedLine.d138.s2|73-83|vasopressin|drug
DDI-MedLine.d138.s3|44-57|concentrations|group
DDI-MedLine.d138.s3|68-75|hormones|group
DDI-MedLine.d138.s3|129-133|water|drug
DDI-MedLine.d29.s0|10-19|probenecid|drug
DDI-MedLine.d29.s0|79-89|cloxacillin|drug
DDI-MedLine.d29.s2|25-29|serum|group
DDI-MedLine.d29.s2|49-59|penicillins|group
DDI-MedLine.d29.s2|65-77|cephaloridine|group
DDI-MedLine.d29.s2|111-120|probenecid|drug
DDI-MedLine.d29.s2|210-213|body|brand
DDI-MedLine.d29.s3|21-30|probenecid|drug
DDI-MedLine.d29.s3|75-85|cloxacillin|drug
DDI-MedLine.d29.s3|124-134|cloxacillin|drug
DDI-MedLine.d29.s3|178-192|kidney function|group
DDI-MedLine.d29.s3|274-283|probenecid|drug
DDI-MedLine.d29.s4|93-103|cloxacillin|drug
DDI-MedLine.d29.s4|122-131|probenecid|drug
DDI-MedLine.d29.s6|27-37|cloxacillin|drug
DDI-MedLine.d29.s6|59-73|kidney function|group
DDI-MedLine.d29.s7|27-41|kidney function|group
DDI-MedLine.d29.s7|134-143|probenecid|drug
DDI-MedLine.d29.s8|41-50|probenecid|drug
DDI-MedLine.d29.s8|74-84|cloxacillin|drug
DDI-MedLine.d118.s0|0-8|Sirolimus|drug
DDI-MedLine.d118.s0|41-49|inhibitor|group
DDI-MedLine.d118.s0|54-60|prevent|brand
DDI-MedLine.d118.s1|97-105|reactions|group
DDI-MedLine.d118.s2|0-8|Sirolimus|drug
DDI-MedLine.d118.s2|37-54|immunosuppressants|group
DDI-MedLine.d118.s2|148-156|sirolimus|drug
DDI-MedLine.d118.s2|231-242|cyclosporine|drug
DDI-MedLine.d118.s2|247-256|tacrolimus|drug
DDI-MedLine.d118.s3|97-105|sirolimus|drug
DDI-MedLine.d118.s3|128-139|cyclosporine|drug
DDI-MedLine.d118.s3|144-153|tacrolimus|drug
DDI-MedLine.d118.s3|235-244|reductions|group
DDI-MedLine.d118.s3|249-260|cyclosporine|drug
DDI-MedLine.d118.s3|265-274|tacrolimus|drug
DDI-MedLine.d118.s3|295-301|steroid|group
DDI-MedLine.d185.s0|62-77|pharmacokinetics|group
DDI-MedLine.d185.s0|82-93|panobinostat|drug
DDI-MedLine.d185.s0|142-150|inhibitor|group
DDI-MedLine.d185.s1|0-11|Panobinostat|drug
DDI-MedLine.d185.s2|50-58|inhibitor|group
DDI-MedLine.d185.s2|61-72|ketoconazole|drug
DDI-MedLine.d185.s2|82-97|pharmacokinetics|group
DDI-MedLine.d185.s2|113-124|panobinostat|drug
DDI-MedLine.d185.s3|27-38|panobinostat|drug
DDI-MedLine.d185.s4|13-24|ketoconazole|drug
DDI-MedLine.d185.s5|19-30|panobinostat|drug
DDI-MedLine.d185.s5|62-73|ketoconazole|drug
DDI-MedLine.d185.s6|0-11|Panobinostat|drug
DDI-MedLine.d185.s6|40-44|agent|group
DDI-MedLine.d185.s7|19-30|ketoconazole|drug
DDI-MedLine.d185.s7|92-103|panobinostat|drug
DDI-MedLine.d185.s9|17-45|panobinostat-pharmacokinetics|group
DDI-MedLine.d185.s11|85-93|phosphate|brand
DDI-MedLine.d185.s12|21-32|panobinostat|drug
DDI-MedLine.d185.s12|45-54|inhibitors|group
DDI-MedLine.d185.s12|96-107|panobinostat|drug
DDI-MedLine.d185.s13|104-115|panobinostat|drug
DDI-MedLine.d185.s13|144-153|inhibitors|group
DDI-MedLine.d180.s1|40-61|S-adenosylhomocysteine|drug
DDI-MedLine.d180.s1|72-80|hydrolase|drug
DDI-MedLine.d180.s2|157-161|lines|group
DDI-MedLine.d180.s3|0-2|RNA|group
DDI-MedLine.d180.s8|41-43|RNA|group
DDI-MedLine.d180.s10|19-23|Bcl-2|drug
DDI-MedLine.d180.s10|113-117|Bcl-2|drug
DDI-MedLine.d180.s10|126-134|inhibitor|group
DDI-MedLine.d180.s11|79-88|correlates|group
DDI-MedLine.d180.s12|76-80|Bcl-2|drug
DDI-MedLine.d181.s0|20-32|levothyroxine|drug
DDI-MedLine.d181.s1|0-6|Infacol|brand
DDI-MedLine.d181.s3|8-19|interactions|group
DDI-MedLine.d181.s4|85-97|levothyroxine|drug
DDI-MedLine.d181.s5|17-29|levothyroxine|drug
DDI-MedLine.d181.s5|39-45|thyroid|brand
DDI-MedLine.d181.s6|42-48|Infacol|brand
DDI-MedLine.d181.s6|78-90|levothyroxine|drug
DDI-MedLine.d181.s9|100-106|prevent|brand
DDI-MedLine.d169.s0|0-6|Calcium|drug
DDI-MedLine.d169.s0|70-73|heme|group
DDI-MedLine.d169.s1|0-6|Calcium|drug
DDI-MedLine.d169.s1|95-98|heme|group
DDI-MedLine.d169.s2|28-34|calcium|drug
DDI-MedLine.d169.s2|46-49|iron|drug
DDI-MedLine.d169.s2|123-129|calcium|drug
DDI-MedLine.d169.s3|52-58|calcium|drug
DDI-MedLine.d169.s3|89-92|heme|group
DDI-MedLine.d169.s4|72-75|iron|drug
DDI-MedLine.d169.s4|102-105|iron|drug
DDI-MedLine.d169.s5|28-34|calcium|drug
DDI-MedLine.d169.s5|96-99|iron|drug
DDI-MedLine.d169.s5|105-119|ferrous sulfate|drug
DDI-MedLine.d169.s6|33-39|calcium|drug
DDI-MedLine.d169.s6|92-95|heme|group
DDI-MedLine.d169.s7|0-6|Calcium|drug
DDI-MedLine.d169.s7|28-43|calcium chloride|drug
DDI-MedLine.d169.s7|64-71|minerals|group
DDI-MedLine.d169.s8|0-6|Calcium|drug
DDI-MedLine.d169.s8|43-46|iron|drug
DDI-MedLine.d169.s9|2-8|calcium|drug
DDI-MedLine.d169.s9|55-58|heme|group
DDI-MedLine.d169.s10|53-59|calcium|drug
DDI-MedLine.d169.s10|100-103|iron|drug
DDI-MedLine.d169.s10|142-145|heme|group
DDI-MedLine.d169.s10|157-160|iron|drug
DDI-MedLine.d169.s11|115-121|calcium|drug
DDI-MedLine.d179.s0|32-40|sunitinib|drug
DDI-MedLine.d179.s0|46-54|docetaxel|drug
DDI-MedLine.d179.s1|40-48|sunitinib|drug
DDI-MedLine.d179.s2|66-74|sunitinib|drug
DDI-MedLine.d179.s2|131-139|sunitinib|drug
DDI-MedLine.d179.s2|145-153|docetaxel|drug
